ISO,quarantine _1,quarantine _2,quarantine _3,quarantine _4,quarantine _5,quarantine _6,quarantine _7,quarantine - Split 9,covidTest_1,covidTest_2,covidTest_3,covidTest_4,covidTest_5,covidTest_6,covidTest_7,covidTest_8,covidTest_9,covidTest_10,covidTest_11,covidTest_12,
LBY,Quarantine at own accommodation or designated centre subject to PCR test,"On arrival, travellers will undergo PCR testing and must quarantine for three days until the result is received","Travellers with a positive result will be transferred to a designated centre for further treatment, and those with a negative result will be subject to home quarantine for ten days",,,,,,COVID-19 negative certification subject to special conditions,Anyone arriving in Libya will need to have a negative COVID-19 PCR test certificate issued within the last 48 hours prior to their arrival,Travellers will undergo health checks along with temperature screening,A COVID-19 PCR test will be administered,,,,,,,,,
LIE,Self-isolation at own accommodation- subject to categorisation,Travelling to and from EU EAA countries is in principle allowed,"For further details, see the rules applicable to Switzerland, which apply to Liechtenstein as well",,,,,,COVID-19 negative certification not required    not known,Travelling to and from EU  EAA countries is in principle allowed,"For further details, see the rules applicable to Switzerland, which apply to Liechtenstein as well",,,,,,,,,,
LTU,Self-isolation at own accommodation- travellers from some countries face stricter measures,Travellers arriving from countries that are listed as risk areas should self-isolate for 10 days from the day of arrival in the Republic of Lithuania (regardless of the negative test result),The isolation period may be shortened after a second negative PCR test performed no earlier than on day 7 of self-isolation (the test is carried out at own expenses),"Depending on the local epidemiological situation, travellers from some countries face stricter measures during the isolation period",Travellers that can provide proof of full vaccination or recent recovery of COVID-19 infection are not required to quarantine,"Lithuanian government announces travelers from Andorra, France, Mongolia, Puerto Rico, Turkey will now be subject to standard self-isolation requirements",,,COVID-19 negative certification required for entering the country,All travellers arriving from countries listed as risk areas  are subject to the requirement for a pre-departure negative PCR test,The test must be taken within 72 hours prior to arrival,Children aged 15 and under are exempt,The certificate can be in one of the official languages of the European Union,Travellers arriving by private transport should register for a test in Lithuania within 24 hours of arrival by calling the hotline +370 (5 2) 196 180,Travellers who have been fully vaccinated for COVID-19 are exempted from providing a negative COVID-19 test,A certificate of vaccination is needed,,,,,
LUX,,,,,,,,,COVID-19 negative certification required for entering the country,"Since 29 January, any person - regardless of nationality - arriving by air transport to the Grand Duchy of Luxembourg is subject to the requirement for a pre-departure negative COVID-19 test (on paper or electronic document)",The test must be taken within 72 hours prior to departure,"Accepted test: PCR, TMA, LAMP, Antigen",This obligation does not apply to travel by land,Children aged 5 and under are exempted,Third-country nationals may no longer enter the territory of the Grand Duchy until 30 June 2021 (inclusive),Details concerning these restrictions and the various exceptions are available on covid19,"lu  until 30 June 2021 included, any person who stayed in India during the 14 days prior to his or her arrival on Luxembourg territory must undergo a COVID-19 test (PCR, TMA or LAMP methods) as soon as possible and inform the medical analysis laboratory about their stay in India","This obligation applies to any person who has stayed in India during the 14 days preceding his  her arrival, regardless of the duration of the stay in India and in Luxembourg, and regardless of the means of transport to the Grand Duchy",,,
MAC,Quarantine requirement at government designated site,"Quarantine measures imposed on arrivals returning from middle risk areas in mainland China, and from Taiwan, stay at the current 14 day quarantine period, while arrivals returning from low risk areas in mainland China are still exempted from any quarantine measures",,,,,,,COVID-19 negative certification required for entering the country,"Based on the QR three-colour code system, which replaces the previous digital health declaration, visitors receiving red or yellow codes may be subject to testing, hospitalisation or restrictions on their movements",,,,,,,,,,,
MDG,Self-isolation at own accommodation subject to PCR,You will also be required to take a test at Ivato International Airport and to self-isolate at your own expense until the test result is received (typically 4 to 5 days),"If the test is positive, you may be required to go to a state-mandated facility for treatment",,,,,,COVID-19 negative certification required for entering the country,To enter Madagascar you need to provide proof of a negative coronavirus test taken within 72 hours of travel,You will also be required to take a test at Ivato International Airport,,,,,,,,,,
MWI,"Quarantine requirement at government designated site, subject to PCR",Individuals testing positive for coronavirus on arrival may be taken for treatment at a government facility,All other individuals will be required to self-monitor for COVID-19 signs and symptoms for 14 days after arrival,"This allows the traveller to interact with others but they will be required to strictly observe physical distancing and hand hygiene, and must always use a mask in public",,,,,COVID-19 negative certification required for entering the country,"If you‚Äôre eligible for entry, you will need to provide proof of a negative COVID-19 test taken within 72 hours of your arrival",,,,,,,,,,,
MYS,Quarantine requirement at government designated site,"From 29 April, anyone is obliged to quarantine for 14 days at a designated government facility",The list of countries may be found on the Ministry of Health website,Travellers from countries not on the list will have to quarantine for 10 days,You will need to meet all costs associated with your quarantine,You will need to download the MySejahtera app,,,COVID-19 negative certification required for entering the country,You may need to take a COVID-19 test on arrival (even if you have a negative test from your country of origin) and on completion of your quarantine,,,,,,,,,,,
MDV,Self-isolation at own accommodation for non-tourists,"All non-tourist passengers travelling from the UK (includes 12-hour transit) to the Maldives (such as residents, work visa holders and returning students) need to self-isolate for 10 days and register on the Haalubelun portal","During the 10 day quarantine period, visitors must also get tested for Covid-19 after 5 days and again after 10 days",These requirements do not apply to tourists and the government has said it has no plans to quarantine tourists on arrival,,,,,COVID-19 negative certification required for entering the country,all visitors must present a negative PCR test for COVID-19 on arrival to Maldives,The test and negative PCR certificate must be issued no more than 96 hours prior to departure,You should arrange to take a private test,All travellers to the Maldives must fill in a Traveller Health Declaration form 24 hours before departure to and return from the Maldives ,,,,,,,,
MLI,Self-isolation at own accommodation or approved site- subject to PCR,"If you do not present a negative test that is less than 72 hours old on arrival, you will be tested and will be made to quarantine at home or in a hotel while waiting for the test results","If you are showing symptoms, or test positive on arrival, you will be made to go to a government designated facility, until a negative result is obtained",,,,,,COVID-19 negative certification required for entering the country,To enter Mali you will either need to present a negative COVID test certificate less than 72 hours old or be tested on arrival at the airport,,,,,,,,,,,
MLT,Self-isolation at own accommodation- subject to categorisation,Travellers arriving from corridor countries who fail to produce a Covid-19 test may be tested upon arrival in Malta and may be subject to quarantine,,,,,,,COVID-19 negative certification required for entering the country- subject to categorisation,All travellers coming from a corridor country or allowed to enter Malta are subject to the requirement for a pre-departure negative PCR test,The test must be taken within 72 hours prior to arrival,"For increased security, random swab tests may be conducted on passengers upon arrival at the Malta International Airport",Random swab tests may be conducted on passengers upon arrival at the Malta International Airport,"The list includes the following countries: Australia, China, New Zealand, Rwanda, South Korea, United Arab Emirates, Canada, Indonesia, Japan, Jordan, Lebanon, Morocco, Thailand, Tunisia, Turkey, Uruguay, United Kingdom",,,,,,,
MHL,"Quarantine requirement: Marshall Islands authorities have introduced a number of precautionary measures, including a total suspension of international travellers coming into RMI",,,,,,,,"COVID-19 negative certification not required    not known   Marshall Islands authorities have introduced a number of precautionary measures, including a total suspension of international travellers coming into RMI",,,,,,,,,,,,
MTQ,Self Isolation required,"Travellers from most destinations will also be required to self-isolate for 7 days on arrival in Martinique, before taking another PCR test",,,,,,,COVID-19 negative certification required for entering the country,All travellers over the age of 11 must undertake a test for COVID-19 within 72 hours before departure for Martinique,The test is obligatory and the traveller must show proof of a negative result before embarking,,,,,,,,,,
MRT,Quarantine requirement at government designated site- subject to symptoms,"You must then take a PCR test in Mauritania, and if this is negative, you can exit quarantine","If you are arriving from the UK, South Africa, Brazil, India or another country identified as a source of new COVID-19 variants, you must quarantine at your own expense in a hotel or your place of residence for 10 days",You will undergo a contactless temperature check on arrival,While waiting for the test result you must self-isolate at your own expense in a hotel or your place of residence for 10 days,,,,COVID-19 negative certification required for entering the country,"You must take a PCR test dated within 3 days before arrival and show evidence of the negative test result, with the date of the test clearly labelled",Non-Mauritanian nationals that arrive without a PCR test will not be allowed to enter the country and will be obliged to immediately return to their country of origin,"If you have a temperature upon arrival, you must agree to a PCR or rapid antigen test",,,,,,,,,
MUS,Quarantine requirement at government designated site,"On 6 March, in response to the COVID-19 situation, the Government of Mauritius announced the suspension of all international flight arrivals",,,,,,,COVID-19 negative certification required for entering the country,"On 6 March, in response to the COVID-19 situation, the Government of Mauritius announced the suspension of all international flight arrivals",,,,,,,,,,,
MYT,Quarantine Requirement- Unknown where,"Travellers will be required to self-isolate for seven days on arrival in Martinique, before taking another PCR test",,,,,,,COVID-19 negative certification required for entering the country,All travellers over the age of 11 must undertake a test for COVID-19 within 72 hours before departure for Mayotte,The test is obligatory and the traveller must show proof of a negative result before embarking,Travellers may also need to produce a self-certified document affirming that they have no COVID symptoms and that to their knowledge they have not been in contact with any person confirmed positive within the last 14 days,,,,,,,,,
MEX,No requirement,There are no mandatory quarantine policies currently in effect in Mexico,,,,,,,COVID-19 negative certification not required    not known,Mandatory questionnaire to be fulfilled electronically by passengers,Visual inspection of passengers by the local authority,Medical evaluation on site,,,,,,,,,
FSM,Self-isolation at own accommodation,People who are allowed entry might be subject to a 14-day self-quarantine,Quarantine facilities are available in Pohnpei and Yap and Chuuk States,,,,,,COVID-19 negative certification not required   not known,,,,,,,,,,,,
MCO,Self-isolation at own accommodation-if coming from outside EU (country white list exempt),See French,,,,,,,COVID-19 negative certification required for entering the country,"Travellers must supply evidence of a negative Polymerase Chain Reaction (PCR) test carried out in their country of origin 72 hours before their arrival in the Principality, or ii) agree to undergo a PCR test in Monaco and self-isolate until the result is available",,,,,,,,,,,
MNG,Quarantine requirement at government designated site,All incoming passengers are required to undertake 7 days quarantine in an approved hotel,PCR tests will be taken on the 5th and 7th days of quarantine,,,,,,COVID-19 negative certification required,All incoming passengers are required to provide evidence of a negative COVID-19 PCR test taken no more than 72 hours before arrival,,,,,,,,,,,
MNE,Self-isolation at own accommodation- subject to PCR,"Foreign nationals who are resident in Albania, Bosnia and Herzegovina, Croatia, Kosovo, Serbia, Russia, Belarus, Ukraine and North Macedonia, or non-residents who have spent at least 15 days in these countries, continuously are exempt from the requirement for a test or proof of vaccination","Foreign nationals with Montenegrin residence permits travelling from all other countries can enter Montenegro without a valid test or proof of vaccination, but will be required to self-isolate for 14 days",All those who were quarantined or self-isolating and who test positive for the coronavirus and are unable to continue self-isolation in their place of residence will be subjected to compulsory institutional isolation,,,,,COVID-19 negative certification required for entering the country,"Visitors travelling from most countries require a negative PCR test from a registered lab, taken within 72 hours of travel to enter Montenegro, or a positive serology test on IgG antibodies issued by a registered lab not older than 30 days",Children under the age of 5 do not require a test,"Alternatively, travellers can provide proof of a second dose of COVID-19 vaccination administered at least 7 days ago",,,,,,,,,
MSR,Self-isolation at own accommodation or government designated site,"From 16 May, people that are eligible for entry, who have been fully vaccinated against COVID (two doses, two weeks at least since the second dose) need to spend 10 days in self-isolation quarantine instead of 14 days on arrival whether staying in their own home, a rented property or a government approved quarantine facility",Unvaccinated passengers still need to spend 14 days in quarantine,,,,,,COVID-19 negative certification required for entering the country,"All intended arrivals must submit an Access Declaration Form at least 72 hours prior to booking your travel, and have evidence of a negative COVID-19 test result","A new test on arrival is required from 16 May for all passengers as an extra precaution, but non-vaccinated arrivals also need to do a second test to confirm release at the end of their self-isolation",Non-resident technicians are required to be tested on arrival (in addition to providing a negative test before departure),,,,,,,,,
MAR,Quarantine requirement at government designated site,Anyone who presents symptoms of COVID-19 on arrival will be quarantined at a government-designated facility,,,,,,,COVID-19 negative certification required for entering the country,"Passengers will be required to present (negative) results of a PCR test for COVID-19 before being permitted to travel to Morocco, with the PCR test dating less than 72 hours from the date on which the sample was taken, not from the date on which the result was delivered, prior to departure",,,,,,,,,,,
MOZ,Self-isolation at own accommodation- subject to PCR,"Anyone testing positive, or in contact with someone who has tested positive for COVID-19 will be required to self-isolate for a period of 14 days",Anyone who does not present a negative COVID-19 test will need to self-isolate for 14 days,,,,,,COVID-19 negative certification required for entering the country,Travellers presenting a negative COVID-19 PCR test are exempt from the quarantine regime,"The test must have been issued in the departure country, within 72 hours prior to the time of arrival",Children under 11 years old are exempt from the requirement to present a COVID-19 PCR test,,,,,,,,,
MMR,Quarantine requirement at government designated site,Arrivals in Myanmar must enter government-arranged quarantine,,,,,,,COVID-19 negative certification required for entering the country,"Arrivals must provide evidence of a negative COVID-19 test result, issued no more than 72 hours before boarding a flight to Myanmar",,,,,,,,,,,
NAM,Self-isolation at own accommodation or approved site- subject to PCR,Permanent residents do not need to provide a negative test on arrival but in that case will have to quarantine for 7 days,,,,,,,COVID-19 negative certification required for entering the country,Any person entering Namibia must present proof on arrival in Namibia of a negative COVID-19 test taken in the country of departure,The test result must not be older than 7 days (or 168 hours) at the time of entry into Namibia,,,,,,,,,,
NRU,Quarantine requirement outside territory,"Effective 16 March 2020, all persons arriving in Nauru will be required to spend up to 14 days in ‚ Government Transition Accommodation‚Äù in Nauru",,,,,,,COVID-19 negative certification not required    not known,"All persons travelling to Nauru are required to undergo pre-travel screening and present evidence of a negative PCR COVID test, undertaken not more than 3 days before travel to Nauru",,,,,,,,,,,
NPL,Quarantine Requirement- Unknown where,"When flights resume, those seeking to enter Nepal were previously required to present certain documentation:a hotel booking that allows at least ten days‚Äô quarantine in Nepal (if not vaccinated)",,,,,,,COVID-19 negative certification required for entering the country,"When flights resume, those seeking to enter Nepal were previously required to show a negative Reverse Transcription Polymerase Chain Reaction (RT-PCR) test, taken within 72 hours of flight of first departure or a complete vaccination against COVID-19",,,,,,,,,,,
NLD,Self-isolation at own accommodation,All travellers must complete a 10-day mandatory quarantine,The quarantine period may be shortened by taking a PCR test no less than 5 days after arrival,"If the result of this test is negative, the period of quarantine can end",,,,,COVID-19 negative certification required for entering the country,"Travellers arriving in the Netherlands by aircraft, ship, train or coach from a high-risk area, you are subject to the requirement for a pre-departure negative COVID-19 test","Accepted tests: molecular NAAT test (PCR, RT PCR, LAMP, TMA or mPOCT)",The test must be taken within 24 hours prior to boarding,"Alternatively, you can present both a negative NAAT (PCR) test result based on a sample collected no more than 72 hours before arrival in the Netherlands and a negative rapid test result based on a sample collected no more than 24 hours before boarding",Children aged 12 and under are exempted,A negative COVID-19 test result is not mandatory if you are travelling to the Netherlands by car,"The same applies to travellers on a regional, cross-border bus that remains within 30 km of the Dutch border on both sides, as well as those travelling on regional cross-border trains",,,,,
NCL,Quarantine requirement at government designated site,Most travellers will be required to complete 14 days of quarantine in a hotel requisitioned by the government,,,,,,,COVID-19 negative certification required for entering the country,"All travellers over the age of 11 must undertake a test for COVID-19 within 72 hours before departure for their destination, showing proof of a negative result before embarking",Airlines will refuse boarding to anyone who does not produce both proof of a negative test result and the self-certified document,,,,,,,,,,
NZL,Quarantine requirement at government designated site,Anyone entering New Zealand needs to undergo quarantine or managed isolation in an approved facility for a minimum of 14 days,Arrivals must then test negative for COVID-19 before entering the community,,,,,,COVID-19 negative certification required for entering the country,"All travellers to New Zealand (except those coming from Australia, Antarctica and most Pacific Islands) will be required to have confirmation of a negative COVID-19 PCR test result in the 72 hours prior to departure",,,,,,,,,,,
NIC,No requirement,There may be some screening procedures in place at borders,Immigration or airport officials in Nicaragua may require travellers to report if they have visited any countries significantly affected by COVID-19 and may request negative coronavirus tests,There are no official requirements for documentation related to COVID-19,,,,,COVID-19 negative certification required for entering the country,There is currently a requirement to have a negative for COVID-19 certificate,"Screening measures (thermal screening, questionnaires, interviews) being implemented at the airport",Passengers required to fill out a health form,,,,,,,,,
NER,"Quarantine requirement at own accommodation, hotel or government designated site depending on PCR test reults","If you arrive in Niger by air with a negative COVID-19 test, you will have to self-isolate at your final destination (home, hotel) for 7 days",If you test positive for COVID-19 upon arrival in Niger you will have to isolate in government facilities for 14 days after arrival,,,,,,COVID-19 negative certification required for entering the country,"If you are eligible for entry, you will need to present a negative COVID test certificate less than 72 hours old to the airport authorities, or be tested at the airport",Anyone arriving will be tested for COVID-19,,,,,,,,,,
NGA,Self-isolation at own accommodation- All new arrivals are expected to self-isolate at one location in the city of their arrival until the result of their second PCR test (which should be taken on day 7 of arrival) is known,If the second test is negative individuals can exit self-isolation from day 8 onwards,"Nigerians and permanent residence card holders who have travelled to Brazil, India and Turkey in the 14 days preceding travel to Nigeria will be required to undergo 7 days mandatory quarantine in a government-approved facility at the point-of entry city and at cost to the passenger",,,,,,COVID-19 negative certification required for entering the country,Passengers travelling to Nigeria must complete the on-line pre-boarding health declaration at the Nigeria International Travel Portal,"They must also have tested negative for COVID-19 within 72 hours of their departure to Nigeria, and have uploaded their PCR test certificate to the on-line Travel Portal","Nigerians and permanent residence card holders who have travelled to Brazil, India and Turkey in the 14 days preceding travel to Nigeria will face the following requirements:   (i) within 24 hours of arrival shall take a COVID-19 PCR test   (ii) if positive, the passenger shall be admitted to a government-approved treatment centre, in line with national treatment protocols   (iii) If negative, the passenger shall continue to remain in quarantine and made to undergo a repeat PCR test on day 7 of their quarantine",,,,,,,,,
NIU,Quarantine Requirement- Unknown where,Everyone who arrives will be subject to a 14-day quarantine on arrival,,,,,,,COVID-19 negative certification subject to special conditions,,,,,,,,,,,,
MKD,Quarantine requirement,Any travellers arriving from India will need to self-isolate for 14 days,,,,,,,COVID-19 negative certification not required    not known,Foreign nationals entering the country do not need to present a PCR test and are not subject to self- isolation or quarantine,,,,,,,,,,,
MNP,Quarantine Requirement- Unknown where,Travelers arriving without a proof of COVID-19 PCR test are subject to quarantine for 5 days,"Residents of the Northern Mariana Islands are subject to self-quarantine for 14 days, while foreign visitors will be subject to government quarantine, unless they have a negative PCR test for COVID-19 issued within 3-6 days of their arrival",,,,,,COVID-19 negative certification required for entering the country,"Foreign visitors will be subject to government quarantine, unless they have a negative PCR test for COVID-19 issued within 3 days of their arrival",,,,,,,,,,,
NOR,Quarantine requirement at government designated site,#NAME?,All travellers (including those who are resident in Norway) allowed to enter Norway from countries or regions that are defined as high-risk areas must complete a 10-day quarantine in a designated hotel,The quarantine period may be shortened by taking a second PCR test no less than 7 days after arrival,"If the result of this test is negative, the period of quarantine can end",Entry quarantine upon arrival in Norway from red countries regions,Vaccination does not currently affect quarantine requirements or test recommendations,,COVID-19 negative certification subject to special conditions,All travellers from high-risk areas are subject to the requirement for a pre-departure negative COVID-19 test,Approved test methods are PCR or rapid antigen test,"From midday 13 May, travellers from the UK legally allowed to enter the country will be treated the same as arrivals from EU, EEA and Schengen countries",The test must be taken within 24 hours prior to arrival,"For people arriving by plane, 24 hours apply before the scheduled departure time of the first flight","This requirement does not apply to Norwegians, people living in Norway, people in transit or people who frequently cross the border from Sweden and Finland for work purposes and people with an approved laboratory method that they have undergone COVID-19 during the last six months",Test upon arrival: Anyone who has stayed in an area with a quarantine duty during the last 10 days before arrival has a duty to be tested at the border crossing point upon arrival in Norway,The test must be either PCR or rapid antigen test,"In the case of a positive rapid antigen test, the person must take a PCR test within 24 hours of arrival","Travellers from Bangladesh, India, Iraq, Nepal, and Pakistan are subject to stricter rules. ",Vaccination does not currently affect quarantine requirements or test recommendations,
OMN,Quarantine requirement at government designated site,The results of the PCR test undertaken at the airport will be sent to your registered phone (usually within 24 hours),You should self-isolate until you receive the result,Arrivals to Oman must have booked their hotel for mandatory self-isolation  through the HMushrif app,We understand bookings made direct with hotels will not be accepted,"It is no longer permitted to self-isolate at home unless you are under 18 (travelling unaccompanied), 60 years old or over or have a document from your health provider stating that for medical reasons you cannot self-isolate in a hotel",In these circumstances you must self-isolate at home for 7 days. On day 8 you must take another PCR test,,COVID-19 negative certification required for entering the country,"If you are over the age of 16, you must take a PCR test no more than 72 hours prior to your arrival in Oman and complete an online pre-registration form",You will also need to have downloaded the Tarassud+ and HMushrif track and trace applications (available on iOS and Android phones),"While you can do this on arrival in Oman, you should aim to download it before you leave the UK",,,,,,,,,
PAK,Self-isolation at own accommodation- subject to COVID-19 test,From 1 May Pakistan government guidelines state that those testing negative will then need to undergo 10 days of self-quarantine at home,Travellers who test positive will be moved to a self-paid facility for 10 days quarantine,"A second PCR test will be conducted on the 8th day of quarantine, following which a negative result will enable a passenger to proceed home and a positive result will necessitate a further quarantine period or move to hospital if required",,,,,COVID-19 negative certification required for entering the country,Travellers are required to present evidence of a negative COVID-19 test taken up to 72 hours before the start of travel,,,,,,,,,,,
PLW,Quarantine requirement at government designated site,All persons entering Palau are being quarantined for 14 days at a quarantine facility established by the government,,,,,,,COVID-19 negative certification subject to special conditions,All travelers will be subject to take 2 separate PCR swab test,,,,,,,,,,,
PAN,Quarantine requirement at government designated site- subject to category,"Upon arrival in Panama, travellers will be expected to take another COVID-19 PCR test",Travellers are responsible for covering the costs,"If you have a negative result, you do not need to quarantine","If the results are positive, travellers need a PCR-RT test by +ICGES and will be required to comply with a 14 quarantine at a government facility","From Monday 24 May, all travellers entering the country that have the Digital Certification of Vaccination (DCV) for more than 14 days with the IATA Travel Pass, plus a negative COVID-19 test, will be exempt from quarantine From 3 May, travellers who have spent the last 15 days in the UK, South Africa, India or South America, or have transited through the UK, South Africa, India or South America, must provide a negative PCR or antigen test taken no more than 48 hours before their arrival in Panama","Upon arrival in Panama, travellers must take another test prior to registering with the immigration authorities","If the additional test is negative, travellers must still quarantine in their homes, or at a government approved observation facility, for three days",COVID-19 negative certification required for entering the country,"Entry into Panama is open to Panamanian nationals, residents, tourists and business travellers who have a negative COVID-19 PCR test results",You must take the test no more than 48 hours before you arrive in Panama,"From Monday 24 May, all travellers entering the country that have the Digital Certification of Vaccination (DCV) for more than 14 days with the IATA Travel Pass, plus a negative COVID-19 test, will be exempt from quarantine  From 3 May, travellers who have spent the last 15 days in the UK, South Africa, India or South America, or have transited through the UK, South Africa, India or South America, must provide a negative PCR or antigen test taken no more than 48 hours before their arrival in Panama","Upon arrival in Panama, travellers must take another test prior to registering with the immigration authorities",Travellers will have to cover the cost of this additional test themselves,"If the additional test is negative, travellers must still quarantine in their homes, or at a government approved observation facility, for three days","If the result of the additional test is positive, travellers need a PCR-RT by +ICGES test and must quarantine for 14 days at a government facility",,,,,
PNG,Quarantine requirement at government designated site,Anyone arriving into Papua New Guinea must self-isolate at their own expense - in a government approved hotel for 14 days unless an exemption has been obtained to quarantine at home,,,,,,,COVID-19 negative certification required for entering the country,Anyone arriving into Papua New Guinea must have evidence of a negative RT-PCR test result for COVID-19 taken within a 7 day period prior to boarding the aircraft bound for PNG,,,,,,,,,,,
PRY,Quarantine requirement at government designated site,"Travellers over the age of 10 years that arrive with a negative PCR test result issued 72 hours before departure will not require isolation, however those without a test result should isolate for 14 days",,,,,,,COVID-19 negative certification not required    not known,Enhanced screening upon arrival (temperature control and medical evaluation for those presenting symptoms),"Travellers over the age of 10 years that arrive with a negative PCR test result issued 72 hours before departure will not require isolation,",,,,,,,,,,
PER,Quarantine requirement at government designated site or at own accommodation,"All passengers arriving in Peru, irrespective of nationality and country of origin, have to show a molecular or antigen test with a negative result","If your test result is positive, you will have to self-isolate following the local authorities‚Äô advice",,,,,,COVID-19 negative certification required for entering the country,"All passengers arriving in Peru, irrespective of nationality and country of origin, have to show a molecular or antigen test with a negative result",Passengers need to have proof of a negative result from a COVID-19 PCR (molecular) or antigen test taken 72 hours before the commercial flight,,,,,,,,,,
PHL,Quarantine requirement at government designated site,Passengers arriving at any international port of entry may be subjected to mandatory quarantine (for a maximum of 14 days) and or need to undergo COVID-19 testing either on arrival or on the sixth day of quarantine at the quarantine facility or an assigned laboratory,You are expected to pay the costs of your quarantine and or COVID-19 testing,,,,,,COVID-19 negative certification subject to special conditions,Passengers arriving at any international port of entry may be subjected to mandatory quarantine (for a maximum of 14 days) and  or need to undergo COVID-19 testing either on arrival or on the sixth day of quarantine at the quarantine facility or an assigned laboratory,You are expected to pay the costs of your quarantine and  or COVID-19 testing,,,,,,,,,,
PCN,Unknown,,,,,,,,,,,,,,,,,,,,
POL,Self-isolation at own accommodation- subject to category,"Travellers arriving in Poland by plane, bus, or other means of public transport, who do not provide a pre-departure negative COVID-19 test (PCR or antigen), are required to quarantine for 10 days, counting from the day following the day of entry","In addition, all travellers returning from the Czech Republic and Slovakia - also those who cross the border by car - must quarantine for 10 days",The quarantine period may be ended by taking a PCR test after arrival,"If the result of this test is negative, the period of quarantine can end",Travellers who have been vaccinated for COVID-19 are exempted from compulsory quarantine (a certificate of vaccination is needed),,,COVID-19 negative certification required for entering the country,All travellers are subject to the requirement for a pre-departure negative COVID-19 test,The test must be taken within 48 hours prior to arrival,"Accepted tests: PCR, antigen",,,,,,,,,
PRT,Quarantine requirement at government designated site- subject to category,"Travellers from high-risk countries (with an incidence rate of 500 cases or more per 100,000 inhabitants in the last 14 days) must complete a 14-day isolation period after entry to mainland Portugal",Isolation should take place either at home or at a place indicated by the health authorities,"Moreover, passengers on commercial flights from South Africa and Brazil must present proof of a negative RT-PCR test result, carried out within 72 hours prior to departure, and will have to comply with a 14-day quarantine period at home or at a place indicated by the health authorities",,,,,COVID-19 negative certification required for entering the country- subject to categorization,All travellers are subject to the requirement for a pre-departure negative PCR test,The test must be taken within 72 hours prior to departure,Children aged 2 and under are exempted,"Passengers on commercial flights from South Africa and Brazil must present proof of a negative RT-PCR test result, carried out within 72 hours prior to departure",Specific measures for Madeira and Azores: Passengers flying to the Madeira and Azores archipelago have to present a negative test to COVID-19 carried out within 72 hours prior to departure or they can perform it upon arrival,,,,,,,
PRI,Quarantine Requirement- Unknown where,"If a visitor is not able to bring a negative test result, they will be required to go through a screening process and further tests at the airport and follow quarantine procedures",,,,,,,COVID-19 negative certification required All arriving passengers must provide a negative COVID-19 test report obtained 72 hours prior to arrival,,,,,,,,,,,,
QAT,Quarantine requirement at government designated site,"From 25 April 2021, all residents returning to Qatar will be exempt from quarantine provided they have completed a vaccination course as recognised by MoPH Qatar (namely Pfizer BioNTech, Moderna, AstraZeneca or Johnson & Johnson), their last vaccination dose having been administered 14 days prior to entry to Qatar and are able to provide a negative PCR test certificate recognised by the Health Department in the departing country","For residents returning to Qatar after 29 November 2020, the quarantine period will be for 7 days",For those returning from a country not included on the Qatar Ministry of Public Health‚a mandatory 7 day hotel quarantine will apply,"From 22 December 2020, all residents arriving on flights originating in the UK will be required to stay at a designated hotel for their quarantine period",These must be booked through the Discover Qatar website,,,"COVID-19 negative certification not required  not known From 25 April 2021, all residents returning to Qatar will need to provide a negative PCR test certificate, recognised by the Health Department in the departing country",This test having been taken no more than 72 hours before arrival into Qatar,,,,,,,,,,,
KOR,Quarantine requirement at government designated site,"Korean nationals and long term foreign visitors with an Alien Registration Card and Korean residence, but without an official Korean government-approved vaccination certificate, may self-quarantine at home for 14 days",All other foreign short-term travellers without a Korean government-approved vaccination certificate must quarantine at a government-designated facility for 14 days,"Individuals are required to pay a daily charge of 120,000KRW while in government quarantine facilities",Travellers with a Korean government-approved official vaccination certificate showing that they have received two vaccine doses in South Korea more than 14 days before their departure from the country may be exempted from compulsory quarantine on their return,"Those exempted will need to comply with active health monitoring through an app, undertake two compulsory COVID tests and limit some activities for a 14 day period",Arrivals from South Africa and Brazil will not be eligible for this exemption,,COVID-19 negative certification required for entering the country,"All foreign nationals arriving in South Korea are required to provide a negative PCR test declaration, issued within 72 hours of departure",All arrivals ‚Äì regardless of nationality and length of stay ‚Äì are also required to be tested for coronavirus (COVID-19) after entering South Korea,,,,,,,,,,
MDA,Self-isolation at own accommodation- subject to PCR and category,There is no requirement to self-isolate if you present a negative test result,,,,,,,COVID-19 negative certification required for entering the country,You must present a printed negative result from a PCR test conducted less than 72 hours before your time of embarkation (if travelling by mass transport) or your arrival time at the border (if travelling by private means),"Current rules do not specify whether electronic documents are acceptable, but you are recommended to bring your test result in paper form","The test result can be in English, Romanian, Russian, German, Italian or French",,,,,,,,,
ROU,Self-isolation at own accommodation- subject to categorisation,"Travellers arriving from countries classified as ""green"" can enter Romania without being subject to any isolation or test requirement","Travellers arriving from countries classified as ""yellow"", who do not provide a pre-departure negative PCR test taken within 72 hours prior to arrival, and ""red"" are subject to a 14-day quarantine",The quarantine period may be shortened by taking a PCR test no less than 8 days after arrival,"If the result of this test is negative, the period of quarantine can end on day 10",,,,COVID-19 negative certification required for entering the country,"Travellers arriving from countries classified as ""green"" can enter Romania without being subject to any isolation or test requirement","Travellers arriving from countries classified as ""yellow"" and ""red"" provide a pre-departure negative PCR test taken within 72 hours prior to arrival",Children aged 3 and under are exempted from the PCR test requirement,,,,,,,,,
